alternating,3,6,Game Condensed,Game Cited,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26
0,3,6,Lasersquash,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Simons2014EnergyChildren}\end{tabularx} } &\begin{small}Lasersquash\end{small}   \end{tabularx} },5.7,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Lightspace Bug Invasion,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bailey2011EnergyExergaming}\end{tabularx} } &\begin{small}Lightspace Bug Invasion\end{small}   \end{tabularx} },6.4,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Move Gladiatorial Combat,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{scheer2014wii}\end{tabularx} } &\begin{small}Move Gladiatorial Combat\end{small}   \end{tabularx} },2.742857143,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Playstation Boxing,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Matrosly2017ExergamingInjury}\end{tabularx} } &\begin{small}Playstation Boxing\end{small}   \end{tabularx} },4.3,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Playstation table Tennis,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Lau2015EvaluatingChildren}\end{tabularx} } &\begin{small}Playstation table Tennis\end{small}   \end{tabularx} },1.76,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Singstar Dance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Thin2013UserTechnologies}\end{tabularx} } &\begin{small}Singstar Dance\end{small}   \end{tabularx} },3.142857143,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Sportwall,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bailey2011EnergyExergaming}\end{tabularx} } &\begin{small}Sportwall\end{small}   \end{tabularx} },7.1,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,StepMania,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bronner2013EnergyPlayers}\end{tabularx} } &\begin{small}StepMania\end{small}   \end{tabularx} },9.06,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Ubisoft Shape Up,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Parent2017PilotRehabilitation}\end{tabularx} } &\begin{small}Ubisoft Shape Up\end{small}   \end{tabularx} },3.3,3.7,4.2,4.4,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Wii Fit Aerobic,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Tripette2014WiiAdults}\end{tabularx} } &\begin{small}Wii Fit Aerobic\end{small}   \end{tabularx} },2.2,2.5,2.7,3,3.3,3.5,3.6,3.6,3.7,4,4.7,,,,,,,,,,,,,,,
